Statistical profiling result from prof/fs-extra.isolate.log, (304 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.3%    0.3%  T v8::internal::JSFunction::EnsureFeedbackVector(v8::internal::Handle<v8::internal::JSFunction>)
      1    0.3%    0.3%  T v8::internal::Heap::ReserveSpace(std::__1::vector<v8::internal::Heap::Chunk, std::__1::allocator<v8::internal::Heap::Chunk> >*, std::__1::vector<unsigned char*, std::__1::allocator<unsigned char*> >*)
      1    0.3%    0.3%  T v8::internal::Factory::CopyJSObjectWithAllocationSite(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::AllocationSite>)
      1    0.3%    0.3%  T v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*)
      1    0.3%    0.3%  T v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::NumberOfEnumerableProperties()
      1    0.3%    0.3%  T v8::internal::DescriptorArray::Sort()
      1    0.3%    0.3%  T v8::internal::DefaultDeserializerAllocator::GetMap(unsigned int)
      1    0.3%    0.3%  T v8::internal::DeclarationScope::AllocateParameterLocals()
      1    0.3%    0.3%  T v8::internal::CodeStub::GetCode()
      1    0.3%    0.3%  T v8::internal::Builtins::name(int)
      1    0.3%    0.3%  T v8::internal::Bitmap::Clear()
      1    0.3%    0.3%  T v8::internal::AstRawString::Compare(void*, void*)
      1    0.3%    0.3%  T v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)
      1    0.3%    0.3%  T std::__1::basic_istream<wchar_t, std::__1::char_traits<wchar_t> >::get()
      1    0.3%    0.3%  T node::Umask(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.3%    0.3%  T _scanf_l
      1    0.3%    0.3%  T _munmap
      1    0.3%    0.3%  T _mach_msg
      1    0.3%    0.3%  T _free
      1    0.3%    0.3%  T _fprintf_l
      1    0.3%    0.3%  T _catgets
