Statistical profiling result from prof/winston.isolate.log, (731 ticks, 25 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.5%    0.6%  T v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
      4    0.5%    0.6%  T v8::internal::Factory::NewConsString(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>)
      4    0.5%    0.6%  T _mach_vm_purgable_control
      3    0.4%    0.4%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.4%    0.4%  t v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
      3    0.4%    0.4%  t node::GetBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.4%    0.4%  t ___vfprintf
      3    0.4%    0.4%  T v8::internal::compiler::AccessInfoFactory::ComputePropertyAccessInfo(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::compiler::AccessMode, v8::internal::compiler::PropertyAccessInfo*)
      3    0.4%    0.4%  T v8::internal::TranslatedState::Init(unsigned char*, v8::internal::TranslationIterator*, v8::internal::FixedArray*, v8::internal::RegisterValues*, __sFILE*, int)
      3    0.4%    0.4%  T v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
      3    0.4%    0.4%  T v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
      3    0.4%    0.4%  T v8::internal::Factory::NumberToString(v8::internal::Handle<v8::internal::Object>, bool)
      3    0.4%    0.4%  T v8::internal::Factory::NewRawOneByteString(int, v8::internal::PretenureFlag)
      3    0.4%    0.4%  T v8::internal::ErrorUtils::FormatStackTrace(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>)
      2    0.3%    0.3%  t void std::__1::vector<v8::internal::FrameSummary, std::__1::allocator<v8::internal::FrameSummary> >::__push_back_slow_path<v8::internal::FrameSummary>(v8::internal::FrameSummary&&)
      2    0.3%    0.3%  t v8::internal::PagedSpace::is_local()
      2    0.3%    0.3%  t v8::internal::(anonymous namespace)::GetFastEnumPropertyKeys(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSObject>)
      2    0.3%    0.3%  t v8::internal::(anonymous namespace)::FrameArrayBuilder::IsVisibleInStackTrace(v8::internal::Handle<v8::internal::JSFunction>)
      2    0.3%    0.3%  t _szone_pressure_relief
      2    0.3%    0.3%  t _small_free_list_remove_ptr_no_clear
      2    0.3%    0.3%  t __cxxabiv1::do_free(void*)
      2    0.3%    0.3%  T v8::internal::TranslatedState::TranslatedState(v8::internal::JavaScriptFrame const*)
      2    0.3%    0.3%  T v8::internal::TranslatedState::EnsureJSObjectAllocated(v8::internal::TranslatedValue*, v8::internal::Handle<v8::internal::Map>)
      2    0.3%    0.3%  T v8::internal::TranslatedFrame::Handlify()
      2    0.3%    0.3%  T v8::internal::String::IndexOf(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>, int)
      2    0.3%    0.3%  T v8::internal::StackGuard::PushPostponeInterruptsScope(v8::internal::PostponeInterruptsScope*)
      2    0.3%    0.3%  T v8::internal::SeqString::Truncate(v8::internal::Handle<v8::internal::SeqString>, int)
      2    0.3%    0.3%  T v8::internal::RegExpResultsCache::Enter(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::FixedArray>, v8::internal::Handle<v8::internal::FixedArray>, v8::internal::RegExpResultsCache::ResultsCacheType)
      2    0.3%    0.3%  T v8::internal::JavaScriptFrame::IsConstructor() const
      2    0.3%    0.3%  T v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::StepOrigin, v8::internal::WorklistToProcess)
      2    0.3%    0.3%  T v8::internal::Heap::AllocateRawWithRetry(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      2    0.3%    0.3%  T v8::internal::FlatStringReader::PostGarbageCollection()
      2    0.3%    0.3%  T v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, v8::internal::PretenureFlag)
      2    0.3%    0.3%  T v8::internal::Factory::GetNumberStringCache(v8::internal::Handle<v8::internal::Object>)
